"Date","Price","Open","High","Low","Vol.","Change %"
"06-10-2024","226.52","225.26","227.45","224.05","67.50B","0.75%"
"29-09-2024","224.83","231.23","231.49","224.40","98.64B","-2.74%"
"22-09-2024","231.17","226.99","233.11","226.21","91.22B","1.95%"
"15-09-2024","226.75","227.06","229.62","226.04","87.69B","0.05%"
"08-09-2024","226.63","224.89","227.81","223.22","74.58B","0.78%"
"01-09-2024","224.89","225.82","227.25","221.93","53.47B","-0.27%"
"25-08-2024","225.50","222.22","227.20","222.22","57.13B","1.51%"
"18-08-2024","222.14","221.16","223.27","219.95","53.48B","0.44%"
"11-08-2024","221.18","216.88","222.24","216.04","58.22B","2.00%"
"04-08-2024","216.84","217.86","218.10","209.13","50.32B","-0.99%"
"28-07-2024","219.00","218.42","220.06","216.36","47.66B","0.42%"
"21-07-2024","218.08","218.53","219.34","215.78","65.31B","0.08%"
"14-07-2024","217.91","218.91","219.88","216.91","54.83B","-0.36%"
"07-07-2024","218.71","216.12","219.68","215.15","61.50B","1.33%"
"30-06-2024","215.84","209.73","216.44","209.59","48.76B","3.14%"
"23-06-2024","209.27","204.67","209.62","204.31","37.97B","2.29%"
"16-06-2024","204.59","205.63","207.34","204.43","46.09B","-0.22%"
"09-06-2024","205.03","211.37","211.52","204.57","70.69B","-2.96%"
"02-06-2024","211.29","214.59","218.67","210.74","54.48B","-0.99%"
"26-05-2024","213.40","215.73","221.65","212.06","69.40B","-0.84%"
"19-05-2024","215.20","215.16","216.35","213.74","31.78B","0.29%"
"12-05-2024","214.59","211.07","215.38","210.23","58.85B","1.62%"
"05-05-2024","211.18","211.81","212.71","210.43","36.43B","0.11%"
"28-04-2024","210.95","205.94","211.93","205.37","13.12B","2.73%"
"21-04-2024","205.35","206.87","208.97","205.35","","-0.49%"
"14-04-2024","206.35","211.96","212.29","205.41","12.66B","-3.23%"
"31-03-2024","213.25","209.67","213.85","207.47","40.84B","1.72%"
"24-03-2024","209.64","212.71","213.29","208.15","38.51B","-1.43%"
"17-03-2024","212.69","210.40","214.00","209.50","56.85B","1.12%"
"10-03-2024","210.32","210.67","213.33","209.83","39.52B","0.05%"
"03-03-2024","210.22","210.14","211.40","207.32","66.38B","0.24%"
"25-02-2024","209.72","209.99","210.29","208.02","75.28B","-0.15%"
"18-02-2024","210.04","210.46","211.04","208.34","55.72B","-0.24%"
"11-02-2024","210.54","210.51","211.20","207.76","46.57B","0.18%"
"04-02-2024","210.16","212.68","212.97","209.84","30.38B","-1.10%"
"28-01-2024","212.50","210.63","212.64","208.76","60.85B","0.97%"
"21-01-2024","210.47","212.81","213.46","209.18","48.20B","-0.89%"
"14-01-2024","212.35","212.66","213.65","209.66","57.85B","-0.01%"
"07-01-2024","212.38","214.46","215.29","209.72","54.59B","-0.92%"
"31-12-2023","214.34","212.88","215.57","212.11","38.16B","0.80%"
"24-12-2023","212.64","212.31","213.81","211.50","28.28B","0.33%"
"17-12-2023","211.95","209.86","212.57","207.29","61.35B","0.91%"
"10-12-2023","210.04","211.59","212.05","206.82","110.19B","-0.87%"
"03-12-2023","211.90","208.60","212.15","206.69","114.91B","1.58%"
"26-11-2023","208.59","207.68","211.12","207.18","57.66B","0.44%"
"19-11-2023","207.68","208.29","208.98","205.96","34.98B","-0.29%"
"12-11-2023","208.29","205.55","208.88","205.43","32.18B","1.34%"
"05-11-2023","205.55","206.22","208.49","204.43","40.99B","-0.32%"
"29-10-2023","206.22","208.89","209.21","203.32","42.33B","-1.28%"
"22-10-2023","208.89","211.58","211.86","206.69","38.53B","-1.27%"
"15-10-2023","211.58","214.03","215.23","210.22","44.48B","-1.14%"
"08-10-2023","214.02","214.61","216.67","213.56","43.74B","-0.27%"
"01-10-2023","214.61","216.99","217.71","211.79","47.78B","-1.10%"
"24-09-2023","216.99","219.76","220.46","216.40","39.73B","-1.26%"
"17-09-2023","219.75","218.27","220.31","216.34","42.56B","0.68%"
"10-09-2023","218.27","214.65","218.95","213.54","63.59B","1.69%"
"03-09-2023","214.65","214.05","216.73","214.05","50.69B","0.29%"
"27-08-2023","214.04","211.51","215.52","211.51","56.68B","1.21%"
"20-08-2023","211.49","208.87","213.79","208.87","50.16B","1.26%"
"13-08-2023","208.86","208.27","210.89","206.95","34.51B","0.28%"
"06-08-2023","208.27","206.94","208.50","206.35","44.48B","0.65%"
"30-07-2023","206.94","208.63","210.36","206.07","56.57B","-0.81%"
"23-07-2023","208.63","207.23","211.02","207.17","44.71B","0.68%"
"16-07-2023","207.23","207.73","209.56","204.65","29.41B","-0.24%"
"09-07-2023","207.72","202.93","208.27","202.93","42.10B","2.36%"
"02-07-2023","202.93","198.85","203.44","198.85","43.08B","2.05%"
"25-06-2023","198.85","199.31","199.79","198.62","12.74B","-0.23%"
"18-06-2023","199.31","200.80","201.16","198.17","37.14B","-0.74%"
"11-06-2023","200.80","199.70","202.38","199.06","44.89B","0.57%"
"04-06-2023","199.66","195.18","199.99","195.18","41.56B","2.30%"
"28-05-2023","195.18","200.93","201.31","195.18","22.08B","-2.85%"
"21-05-2023","200.91","202.33","203.39","200.65","36.15B","-0.70%"
"14-05-2023","202.33","205.38","205.68","202.04","28.98B","-1.46%"
"07-05-2023","205.32","207.68","209.88","205.19","35.26B","-1.14%"
"30-04-2023","207.69","213.64","213.64","206.14","26.51B","-2.79%"
"23-04-2023","213.64","210.83","215.87","210.82","17.78B","1.33%"
"16-04-2023","210.83","209.96","211.23","208.93","9.19B","0.42%"
"09-04-2023","209.95","210.87","211.87","209.32","32.47B","-0.43%"
"02-04-2023","210.87","211.27","212.46","210.24","26.28B","-0.19%"
"26-03-2023","211.27","206.87","212.85","206.43","34.23B","2.12%"
"19-03-2023","206.87","205.96","207.60","203.00","20.52B","0.44%"
"12-03-2023","205.96","207.67","209.26","201.32","34.69B","-0.83%"
"05-03-2023","207.69","210.63","211.41","206.42","29.77B","-1.39%"
"26-02-2023","210.61","212.68","213.31","210.20","33.70B","-0.97%"
"19-02-2023","212.68","211.63","213.26","209.53","31.33B","0.50%"
"12-02-2023","211.62","212.24","213.89","210.96","36.12B","-0.29%"
"05-02-2023","212.24","212.73","214.98","210.41","40.37B","-0.23%"
"29-01-2023","212.73","213.82","215.13","211.96","35.54B","-0.51%"
"22-01-2023","213.82","217.57","218.80","213.45","30.30B","-1.72%"
"15-01-2023","217.57","212.14","218.10","211.53","40.06B","2.56%"
"08-01-2023","212.14","212.57","214.39","210.79","32.54B","-0.20%"
"01-01-2023","212.57","217.73","219.14","209.81","34.81B","-2.37%"
"25-12-2022","217.73","215.12","224.00","214.95","29.64B","1.21%"
"18-12-2022","215.12","209.95","215.70","207.65","33.64B","2.46%"
"11-12-2022","209.95","206.79","209.95","204.36","35.49B","1.53%"
"04-12-2022","206.79","211.14","214.25","205.98","39.20B","-2.06%"
"27-11-2022","211.14","208.21","211.14","207.01","42.19B","1.40%"
"20-11-2022","208.22","206.58","209.64","206.57","37.69B","0.79%"
"13-11-2022","206.58","207.07","207.71","203.58","37.65B","-0.24%"
"06-11-2022","207.07","207.41","209.71","204.74","41.26B","-0.16%"
"30-10-2022","207.41","206.81","208.39","204.97","36.59B","0.29%"
"23-10-2022","206.81","205.17","208.98","204.66","42.29B","0.80%"
"16-10-2022","205.16","201.77","206.01","199.28","42.09B","1.68%"
"09-10-2022","201.77","205.87","206.31","201.77","37.35B","-2.00%"
"02-10-2022","205.88","204.10","208.02","203.09","44.12B","0.87%"
"25-09-2022","204.10","210.08","210.08","201.33","44.28B","-2.85%"
"18-09-2022","210.09","211.13","211.83","208.35","50.62B","-0.49%"
"11-09-2022","211.13","211.47","214.05","209.51","62.53B","-0.16%"
"04-09-2022","211.47","209.46","212.40","208.43","57.71B","0.96%"
"28-08-2022","209.46","207.97","209.97","204.84","55.61B","0.71%"
"21-08-2022","207.98","208.48","210.03","205.68","54.38B","-0.24%"
"14-08-2022","208.48","210.01","210.69","207.09","42.37B","-0.73%"
"07-08-2022","210.01","208.57","211.34","207.55","52.46B","0.69%"
"31-07-2022","208.57","205.84","208.74","204.87","51.26B","1.33%"
"24-07-2022","205.84","204.77","208.40","203.26","57.29B","0.52%"
"17-07-2022","204.77","197.34","205.00","196.28","35.91B","3.77%"
